string_field_0,string_field_1,string_field_2,string_field_3,string_field_4,string_field_5,string_field_6,string_field_7,string_field_9,string_field_10,DistCoast,DistLakeMal,DistRuk,DistTang,DistVik,DistCoast1,DistMal1,DistRuk1,DistTang1,DistVik1,Distance,tolink
SawfrkeRBdE,Bhoke Dispensary,Bhoke Dispensary,109869-8,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.873722,-2.022725]",662.4510308,826.3717217,637.525385,525.0422837,10.5055608,,,,,,10.5055608,
aBBWO3Bz0Aj,Kabale Maternity Home,Kabale Maternity Home,109456-4,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Clinics,"[33.861347,-2.014353]",664.096449,827.3278752,637.8872923,523.9923424,9.99672389,,,,,,9.99672389,
clAJNDzmfFl,Bunda Magereza Dispensary,Bunda Magereza Dispensary,109824-3,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,,"[33.871788,-1.995047]",664.0173643,829.4361581,640.2979668,525.7268194,12.31639163,,,,,,12.31639163,
EjZD7SsI8d5,Sazira Dispensary,Sazira Dispensary,107321-2,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8984,-2.0038]",660.9384364,828.4096531,640.4776787,528.2757626,13.95288904,,,,,13.95288904,13.95288904,
V1bYAeURhvd,Wariku Dispensary,Wariku Dispensary,102325-8,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.7778,-1.93633]",676.2788825,836.2163823,642.6677483,517.7045059,14.65828796,,,,,14.65828796,14.65828796,
U0N29PYIImp,Kunzugu Dispensary,Kunzugu Dispensary,103340-6,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.9156,-2.05159]",656.8570486,823.0934334,636.2762664,528.6018128,12.73090411,,,,,12.73090411,12.73090411,
a9elKuasvRq,Bunda Health Center,Bunda Health Center,100565-1,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Health Center,"[33.8704,-2.01727]",663.0514422,826.9827754,637.952487,524.8626801,10.5583995,,,,,10.5583995,10.5583995,
c2f6lyOv3Yx,Faraja Primate Maternity Home,Faraja Primate Maternity Home,109457-2,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Clinics,"[33.868813,-2.027561]",662.7007631,825.8489997,636.8283708,524.3653308,9.75510412,,,,,,9.75510412,
Q4p9ny3KLxF,Mcharo Dispensary,Mcharo Dispensary,104688-7,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.9459,-2.01478]",655.6761627,827.1165737,641.3116244,532.9866173,17.84687614,,,,,17.84687614,17.84687614,
X6Z5rhjs124,Ukombozi Dispensary,Ukombozi Dispensary,108055-5,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8737,-2.02268]",662.4554452,826.3767489,637.5291255,525.0413742,10.50630202,,,,,,10.50630202,
FoTxgdIYDVk,Bunda DDH Hospital,Bunda DDH Hospital,100566-9,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Hospital,"[33.8755,-2.02994]",661.9176281,825.5698791,636.8548517,525.0023987,10.24547538,,,,,10.24547538,10.24547538,
zDL0oyn7eeZ,Nyamatoke Dispensary,Nyamatoke Dispensary,106704-0,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[34.0007,-2.04034]",648.960803,824.2404748,640.9915834,538.0402449,21.44890162,,,,,21.44890162,21.44890162,
tIWE2K9eqK2,Tamau Dispensary,Tamau Dispensary,107723-9,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8338,-2.12219]",661.610077,815.4843578,625.6647854,517.7022802,0.80145575,,,,,0.80145575,0.80145575,
XmZ0g67za7i,Boma Dispensary,Boma Dispensary,100393-8,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8627,-2.02401]",663.4845892,826.2568674,636.9467966,523.8272039,9.42508935,,,,,9.42508935,9.42508935,
N0p567Ddj3s,Manyamanyama Health Center,Manyamanyama Health Center,104277-9,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Health Center,"[33.8588,-1.97732]",666.1916449,831.4282905,641.6036289,524.9244957,12.93668208,,,,,12.93668208,12.93668208,
LW7O2RgVGE0,Kabasa Dispensary,Kabasa Dispensary,102137-7,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8146,-1.97002]",670.9442309,832.3640763,640.6057665,520.470838,11.67281052,,,,,11.67281052,11.67281052,
F3oxeP8uWvw,Guta Dispensary,Guta Dispensary,101277-2,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.7345,-2.0741]",673.8699468,821.1711759,626.7078225,508.5749173,1.08469926,,,,,1.08469926,1.08469926,
wc6fN6wwgWa,Victory Dispensary,Victory Dispensary,108245-2,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8557,-2.0379]",663.4982414,824.73962,635.2329772,522.6398146,7.9086744,,,,,,7.9086744,
Sq4Cb4pdCPU,Mkono Dispensary,Mkono Dispensary,105109-3,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.8738,-2.02497]",662.3322919,826.1233503,637.2974139,524.979102,10.37628556,,,,,,10.37628556,
R9Kn038LSCG,AICT Dispensary,AICT Dispensary,100061-1,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[33.872,-2.01881]",662.8160428,826.8086543,637.8586892,524.9838154,10.59791946,,,,,10.59791946,10.59791946,
nN8HSW1TkAa,Nywatwali Health Center,Nywatwali Health Center,109422-6,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Health Center,"[33.835528,-2.157779]",659.7487425,811.5453133,622.0724784,516.8348219,0.37084881,,,,,0.37084881,0.37084881,
Og1p87tnYQv,Mihale Dispensary,Mihale Dispensary,104886-7,Bunda Town Council,SoXc0vm0JrY,vYT08q7Wo33,Mara Region,Dispensary,"[34.0341,-2.01715]",646.8236458,826.7961506,644.7826001,542.3238822,25.92463272,,,,,25.92463272,25.92463272,
qeGuI1TEJPj,Sabeeve Prinmart Clinic,Sabeeve Prinmart,111235-8,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Clinics,"[32.234226,-2.867422]",798.8460753,759.3569287,502.5588863,325.6442238,24.11605709,,,,,,24.11605709,
fu4TCx6VH5c,ST. Peter Dispensary,ST. Peter Disp,107623-1,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Dispensary,"[32.23013,-2.900802]",798.2282906,755.9138442,498.8406355,324.5621374,25.50547645,,,,,,25.50547645,
ysAeh9onkRn,Tumaini Dispensary,Tumaini Dispensary,107920-1,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Dispensary,"[32.230158,-2.876494]",798.9912567,758.506855,501.5149741,325.023081,24.1537756,,,,,,24.1537756,
FyWUmgCg9lD,Upendo Health Center,Upendo Health Center,108127-2,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Health Center,"[32.287075,-2.867892]",793.2055597,757.794505,503.1399237,331.4200996,29.56551406,,,,,,29.56551406,
gRSA7Bf3Xfj,Msufini Dispensary,Msufini Dispensary,111233-3,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Dispensary,"[32.228942,-2.88246]",798.9320595,757.9056175,500.8449778,324.7755362,24.34751498,,,,,,24.34751498,
qs1XBDqfeMT,Geita TMC Dispensary,Geita TMC Dispensary,111240-8,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Dispensary,"[32.226055,-2.874105]",799.5040005,758.8813283,501.7318282,324.6200719,23.62716181,,,,,,23.62716181,
xCq0M97gaVq,GGM Health Center,GGM Health Center,101193-1,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Health Center,"[32.18563,-2.86642]",804.0535961,760.891145,502.1470902,320.3474263,19.29294816,,,,,,19.29294816,
yPyWzihu7Hg,Samartan Dispendary,Samartan Disp,111238-2,Geita Town council,fSZfOuCkmAb,MAL4cfZoFhJ,Geita Region,Dispensary,"[32.26812,-2.881268]",794.7966264,756.9025031,501.4350371,329.0893749,28.17935856,,,,,,28.17935856,
bljCmR5MuD7,Afana Eye Care,Afana Eye Care,110995-8,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.441458,-8.895922]",645.0546205,90.88417766,70.64180567,247.3004736,649.8185518,,,,,,70.64180567,
hvGVSkQZF9i,Mzumbe University Dispensary,Mzumbe University Dispensary,110740-8,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.446975,-8.908786]",644.581388,89.4026363,71.99806192,248.0272417,651.3009196,,,,,,71.99806192,
r9wGteveAlJ,Siloamu Maternity Home ,Siloamu Maternity Home ,110992-5,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.469651,-8.89162]",641.9232797,89.3098692,72.83356083,250.3522084,649.7037847,,,,,,72.83356083,
Zphj97mAPeI,Lutheran Dispensary,Lutheran Dispensary,104599-6,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.5606,-8.8967]",632.0139022,82.96465484,81.43252401,260.3686515,651.5160942,,,,,,81.43252401,
ZS4TvF2YsWG,City Pediatric Clinic,City Pediatric Clinic,100902-6,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.421074,-8.923809]",647.5739656,90.01598972,70.86772494,245.3439175,652.6349821,,,,,,70.86772494,
UOduz5eGU3F,TAZARA Dispensary,TAZARA Dispensary,107790-8,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.41579,-8.928877]",648.2060471,89.99195496,70.80076014,244.820102,653.1291318,,,,,,70.80076014,
ubJJ24rmpTx,Kidele Dispensary,Kidele Dispensary,109734-4,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.48337,-8.92027]",640.7165124,85.88855768,75.93719778,252.1282736,653.0292052,,,,,,75.93719778,
SfpWRoAzS4R,Faraja Nursing and  Maternity Home,Faraja Nursing and  Maternity Home,111304-2,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,,"[33.543935,-8.903625]",633.9105513,83.38801894,80.30690156,258.6035554,652.0341857,,,,,,80.30690156,
J9cdSMloy2u,Family Care Dispensary,Family Care Dispensary,104598-8,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.4407,-8.89356]",645.1139493,91.13856918,70.41580727,247.195796,649.5495683,,,,,,70.41580727,
qmzub1q5EGF,City Medical and Heart  Clinic,City Medical and Heart  Clinic,100901-8,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.434337,-8.893776]",645.8131061,91.56785233,69.87840746,246.5002715,649.4946748,,,,,,69.87840746,
RdqwOr4OeWR,Makendza Health Centre,Makendza Health Centre,104099-7,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.385434,-8.93023]",651.5435467,92.17334421,68.44339312,241.5130865,652.9258624,,,,,,68.44339312,
i6FA143ozy2,Chiheko Dental Clinic,Chiheko Dental Clinic,100796-2,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.44269,-8.893164]",644.8920038,91.03304208,70.56229323,247.4103469,649.5307991,,,,,,70.56229323,
FFM8FLYQDCh,Upanga Eye Clinic,Upanga Eye Clinic,111182-2,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.439375,-8.894058]",645.2640743,91.1891195,70.33439587,247.0550852,649.5878604,,,,,,70.33439587,
LlL0HdI3i50,MK Dispensary,MK Dispensary,105033-5,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.477401,-8.915195]",641.3164862,86.73649243,75.07483005,251.4235307,652.3937018,,,,,,75.07483005,
BD8xIQkBSgs,Ozzane Dispensary,Ozzane Dispensary,110909-9,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.471798,-8.911617]",641.8925691,87.43032711,74.34483494,250.7744126,651.9278884,,,,,,74.34483494,
LZibW2yEd94,Forest Dental Clinic,Forest Dental Clinic,101150-1,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.4467,-8.90729]",644.5961021,89.54895534,71.87154949,247.9825027,651.1330952,,,,,,71.87154949,
j30J8KFktXX,Kapombe Dispensary,Kapombe Dispensary,110952-9,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.414319,-8.918672]",648.2597038,90.93549895,69.93426146,244.5503326,651.989578,,,,,,69.93426146,
xIaThcYT2kh,Mkekena Dispensary,Mkekena Dispensary,105063-2,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.4239,-8.92207]",647.2462691,89.95164758,70.97726838,245.6349064,652.4777597,,,,,,70.97726838,
VfWltgHr8RM,Tanzania O.H.S Dispensary,Tanzania O.H.S Dispensary,107857-5,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.4674,-8.91135]",642.3713571,87.75655488,73.94283407,250.2899901,651.8417614,,,,,,73.94283407,
BZMIkurC6Mg,Yetu Nursing and Maternity Home,Yetu Nursing and Maternity Home,110902-4,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[-8.921448,33.428881]",646.6943932,89.63914067,71.34912615,246.1737197,652.4696142,,,,,,71.34912615,
WrXeIboTqQ6,Sayuni Nursing and Maternity Home,Sayuni Nursing and Maternity Home,111287-9,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,,"[33.461625,-8.897469]",642.8613361,89.35117032,72.50836379,249.5251677,650.2428721,,,,,,72.50836379,
DpsbgGadAx9,PARADISE SPECIALIZED DISPENSARY,PARADISE SPECIALIZED DISPENSARY,110910-7,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,,"[33.542445,-8.902001]",634.0568259,83.62949294,80.07124363,258.4254597,651.8347914,,,,,,80.07124363,
A9BomyPLIj2,City Eye Clinic,City Eye Clinic,110993-3,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.439411,-8.89441]",645.2636583,91.15663232,70.36141518,247.0622427,649.6269901,,,,,,70.36141518,
ZWvkHfSH7El,Ipinda Dispensary,Ipinda Dispensary,101829-0,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.462174,-8.910278]",642.9324678,88.21078306,73.41531687,249.706953,651.6569702,,,,,,73.41531687,
YhvGN20NYWD,BOT Dispensary,BOT Dispensary,100314-4,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Dispensary,"[33.445228,-8.907753]",644.7620609,89.61361621,71.77655144,247.8257456,651.165594,,,,,,71.77655144,
ftpgDluO1ff,Ebeneza Dispensary,Ebeneza Dispensary,109791-4,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.464301,-8.911039]",642.7074593,87.99784757,73.65185923,249.9474393,651.7677892,,,,,,73.65185923,
ZAMsFw3zOxJ,NIKU Nursing and Maternity Home,NIKU Nursing and Maternity Home,106473-2,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.4894,-8.9195]",640.0482115,85.54356464,76.41435891,252.7808929,653.0242978,,,,,,76.41435891,
WzgsdIyoVtZ,Jay Jay Nursing and Maternity Home,Jay Jay Nursing and Maternity Home,110739-0,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Clinics,"[33.462905,-8.902245]",642.769731,88.85091344,72.93884822,249.7098633,650.7838999,,,,,,72.93884822,
D43ArVFS6mU,K`s Hospital,K`s Hospital,103323-2,Mbeya City Council,e3ATlebHNrD,A3b5mw8DJYC,Mbeya Region,Hospital,"[33.453706,-8.909453]",643.8511929,88.87234197,72.62474703,248.7711776,651.45877,,,,,,72.62474703,
bABM4nIkoZE,Galanos Sec. School Dispensary,Galanos Sec. Dispensary,101172-5,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.06782,-5.08232]",5.81720143,735.6194276,770.3804949,949.8375506,660.3115261,,,,,,5.81720143,
Y0ddKcXLriQ,Al-Mohlem Dispensary,Al-Mohlem Dispensary,100092-6,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.116825,-5.083031]",0.96385274,739.4298786,775.1079395,954.798035,665.1407352,,,,,,0.96385274,
W0brrvOyf89,Tanga Sec. School Dispensary,Tanga Sec. School Dispensary,111066-7,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.11586,-5.0856]",1.09640175,739.1544427,774.877932,954.5877402,665.179794,,,,,,1.09640175,
yjzNJOzgYnF,Rosmini Secondary dispensary,Rosmini Secondary dispensary,110923-0,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Health Center,"[39.001011,-5.118578]",12.19282596,727.5414311,761.957329,941.4476265,655.7202515,,,,,,12.19282596,
omHl2LRkpiw,Amsterdam (AMC) Dispensary,Amsterdam Dispensary,107732-0,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.110085,-5.088497]",1.76338212,738.4731725,774.1623642,953.8729648,664.7655058,,,,,,1.76338212,
DRb4YjOlKpH,Railways Dispensary,Railways Dispensary,107055-6,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.10519,-5.07416]",1.80184973,739.1990636,774.4468991,954.0000383,663.5410198,,,,,,1.80184973,
rss6xrGG8lf,OTTU Dispensary,OTTU Dispensary,106940-0,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.09361,-5.09389]",3.63707928,736.7528303,772.2731466,951.9589586,663.4362803,,,,,,3.63707928,
nH72JPrR4m1,Bandari Dispensary,Bandari Dispensary,100304-5,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.10501,-5.07008]",1.58618937,739.5018753,774.6464138,954.1602421,663.3117128,,,,,,1.58618937,
vwjBVkHPMhd,Imani Dispensary,Imani Dispensary,101795-3,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.10294,-5.07869]",2.27400923,738.6696214,773.9873626,953.572832,663.5561179,,,,,,2.27400923,
Xu1TFP5qtg1,Chumbageni Prison Dispensary,Chumbageni Prison Dispensary,100886-1,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.09548,-5.07223]",2.61411599,738.5832377,773.6057116,953.0957301,662.4902109,,,,,,2.61411599,
CohfbGL5v8L,Mufadal Dispensary,Mufadal Dispensary,105621-7,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.10287,-5.08118]",2.42270912,738.4707412,773.8483119,953.4569274,663.6787765,,,,,,2.42270912,
CzrlJBnzGQY,Sulemanjee Str 4. Clinic,Sulemanjee Str 4. Clinic,111063-4,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Clinics,"[39.10204,-5.07606]",2.20946384,738.8028809,774.0396115,953.5961303,663.3313301,,,,,,2.20946384,
iXnZ9L40bB5,Rasheed Dispensary,Rasheed Dispensary,107061-4,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.09787,-5.08115]",2.89595013,738.0783871,773.3636115,952.9489031,663.1880427,,,,,,2.89595013,
lKW0wtAjDOy,Tongoni JWTZ Dispensary,Tongoni JWTZ Dispensary,107864-1,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.059628,-5.212306]",1.91302841,724.9094078,762.7517388,943.394896,666.4405008,,,,,,1.91302841,
SqAzJfuvydG,Kodepa Dispensary,Kodepa Dispensary,103276-2,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[38.97686,-5.12377]",14.50574237,725.2428817,759.3348004,938.7611557,653.6545163,,,,,,14.50574237,
mHxZy6Ke5WH,Bakwata Str. 11 Dispensary,Bakwata Str. 11 Dispensary,100280-7,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.10202,-5.07968]",2.41787845,738.5201134,773.8452994,953.4358615,663.5175718,,,,,,2.41787845,
i5gbi3su5wc,Usagara Sec. School Dispensary,Usagara Sec. School Dispensary,108160-3,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.11004,-5.07744]",1.52826619,739.3272915,774.7442977,954.3506832,664.1861489,,,,,,1.52826619,
iuN7J5BurcZ,Tamta Str. 1 Dispensary,Tamta Str. 1 Dispensary,107733-8,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.10195,-5.07483]",2.14784366,738.891347,774.0962597,953.6407604,663.2586166,,,,,,2.14784366,
cWjLF93A4dP,Saruji Dispensary,Saruji Dispensary,107303-0,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[38.995,-5.11075]",13.11799547,727.6826465,761.7914233,941.1783197,654.7188832,,,,,,13.11799547,
AHsioNYykHC,Amboni Dispensary,Amboni Dispensary,100117-1,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.05074,-5.04776]",6.00579899,736.9793607,770.5751707,949.6223189,656.8393733,,,,,,6.00579899,
fIWOqRLmdNr,Tanga Diary Dispensary,Tanga Diary Dispensary,107746-0,Tanga City Council,ySuyuvNNFp8,vU0Qt1A5IDz,Tanga Region,Dispensary,"[39.0615,-5.0894]",6.82142022,734.570496,769.3891644,948.8840063,660.0653567,,,,,,6.82142022,
KKI55pR8v43,Medical Relief Trust H/C,Medical Relief Trust H/C,111551-8,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Health Center,"[-3.36043,36.68751]",316.5267286,738.7626693,690.7498931,786.5632024,339.9656816,,,,,,316.5267286,
hbeiD77AQxs,Mother Medical Care Dispensary,Mother Medical Care Dispensary,109765-8,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Dispensary,"[36.70303,-3.3583]",315.1092292,739.6606954,692.0450169,788.166822,341.4878085,,,,,,315.1092292,
ri55daHZCCt,Zebra Eye,Zebra Eye,110921-4,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Clinics,"[36.684627,-3.366802]",316.4833236,737.9888234,690.0051413,785.9281608,339.9242702,,,,,,316.4833236,
ch0KchJQVl6,Sikh Temple Dispensary,Sikh Temple Dispensary,107465-7,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Dispensary,"[36.68469,-3.37512]",316.0520147,737.146407,689.3080981,785.4655224,340.268208,,,,,,316.0520147,
To5ATasBZMu,Aga Khan Arusha Health Center,Aga Khan Arusha Health Center,108577-8,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Health Center,"[36.68944,-3.37077]",315.8060753,737.7967906,690.0163995,786.1647517,340.5826048,,,,,,315.8060753,
OapFyXDTlMp,MaryLand Dispensary,MaryLand Dispensary,111485-9,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,,"[36.66328,-3.39864]",316.9824703,733.8185162,685.7856706,782.0943312,339.0291228,,,,,,316.9824703,
W1uL3UTkc9I,Arusha School Dispensary,Arusha School Dispensary,100190-8,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Dispensary,"[36.69426,-3.3742]",315.1557227,737.6602873,690.0741656,786.4327984,341.2199735,,,,,,315.1557227,
aVQFxLRDxW3,AFYAMAX POLYCLINICS AND DIAGNOSTIC CENTER,AFYAMAX POLYCLINICS AND DIAGNOSTIC CENTER,111552-6,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Clinics,"[-3.36601,36.67566]",317.4072167,737.6769939,689.4283519,785.1158592,338.9648906,,,,,,317.4072167,
q91iEOWkRyx,Green Hope Dispensary,Green Hope Dispensary,101257-4,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Dispensary,"[36.70958,-3.3653]",314.1049149,739.2389681,691.9271049,788.3991795,342.4464759,,,,,,314.1049149,
DwmrRABVABm,Arusha Laboratory Dispensary,Arusha Laboratory Dispensary,100185-8,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,,"[36.70607,-3.37955]",313.7185229,737.6380232,690.4750995,787.2627573,342.6579078,,,,,,313.7185229,
C7CbWUh3ZGZ,West end Darajani Dispensary,West end Darajani Dispensary,101068-5,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Dispensary,"[36.65919,-3.4067]",316.9871759,732.8203284,684.8120392,781.2502973,338.945678,,,,,,316.9871759,
eCUwwNkqxOL,Aveti Dispensary,Aveti Dispensary,110873-7,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Dispensary,"[36.69035,-3.36314]",316.1079851,738.6118448,690.7252357,786.6817408,340.3686791,,,,,,316.1079851,
mrgygzWlK28,NSK medical Clinic,NSK medical Clinic,111486-7,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,,"[36.64882,-3.3807]",319.3136358,735.0137827,686.2635243,781.721895,336.7951069,,,,,,319.3136358,
Evd3wbDmdGu,St.Raphael Dispensary,St.Raphael Dispensary,111488-3,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,,"[36.6962,-3.36069]",315.6583586,739.1175873,691.3523311,787.3791186,340.8759184,,,,,,315.6583586,
qObyLU1yJoN,ICMF Dispensary,ICMF Dispensary,101426-5,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Dispensary,"[36.67476,-3.37285]",317.1470936,736.9422486,688.7862234,784.643902,339.149821,,,,,,317.1470936,
bbx2XZhopXy,Faraja Dispensary,Faraja Dispensary,101134-5,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Dispensary,"[36.68135,-3.37231]",316.5246537,737.285519,689.3050321,785.304377,339.808772,,,,,,316.5246537,
bLU2X0DWfLm,TBL Dispensary,TBL Dispensary,111223-4,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Dispensary,"[36.699003,-3.38328]",314.2245848,736.947478,689.6515538,786.3767441,342.0793046,,,,,,314.2245848,
qTCRCgN12gE,Eleram Dispensary,Eleram Dispensary,101069-3,Arusha City Council,lgZ6HfZaj3f,YtVMnut7Foe,Arusha Region,Health Center,"[36.687,-3.36776]",316.2005475,737.9955065,690.0948131,786.1010105,340.208452,,,,,,316.2005475,
