Lake_or_coast,Region,District,Type,month,year,weightMT,monthinyear
Coast,Tanga Region,Mkinga District Council,WEIGHT (MT),Jun,2020,260.09,6
Coast,Tanga Region,Mkinga District Council,WEIGHT (MT),Jul,2020,309.65,7
Coast,Tanga Region,Mkinga District Council,WEIGHT (MT),Aug,2020,247.05,8
Coast,Tanga Region,Mkinga District Council,WEIGHT (MT),Sep,2020,289.5,9
Coast,Tanga Region,Mkinga District Council,WEIGHT (MT),Oct,2020,273.4,10
Coast,Tanga Region,Mkinga District Council,WEIGHT (MT),Nov,2020,231.35,11
Coast,Tanga Region,Mkinga District Council,WEIGHT (MT),Dec,2020,273.27,12
Coast,Tanga Region,Muheza,WEIGHT (MT),Jan,2019,274.41,1
Coast,Tanga Region,Muheza,WEIGHT (MT),Feb,2019,284.03,2
Coast,Tanga Region,Muheza,WEIGHT (MT),Mar,2019,275.33,3
Coast,Tanga Region,Muheza,WEIGHT (MT),Apr,2019,376.24,4
Coast,Tanga Region,Muheza,WEIGHT (MT),May,2019,375.78,5
Coast,Tanga Region,Muheza,WEIGHT (MT),Jun,2019,318.97,6
Coast,Tanga Region,Muheza,WEIGHT (MT),Jul,2019,267.88,7
Coast,Tanga Region,Muheza,WEIGHT (MT),Aug,2019,287.01,8
Coast,Tanga Region,Muheza,WEIGHT (MT),Sep,2019,349.1,9
Coast,Tanga Region,Muheza,WEIGHT (MT),Oct,2019,224.24,10
Coast,Tanga Region,Muheza,WEIGHT (MT),Nov,2019,315.19,11
Coast,Tanga Region,Muheza,WEIGHT (MT),Dec,2019,320.8,12
Coast,Tanga Region,Muheza,WEIGHT (MT),Jan,2020,286.95,1
Coast,Tanga Region,Muheza,WEIGHT (MT),Feb,2020,297.01,2
Coast,Tanga Region,Muheza,WEIGHT (MT),Mar,2020,287.92,3
Coast,Tanga Region,Muheza,WEIGHT (MT),Apr,2020,393.44,4
Coast,Tanga Region,Muheza,WEIGHT (MT),May,2020,392.96,5
Coast,Tanga Region,Muheza,WEIGHT (MT),Jun,2020,333.55,6
Coast,Tanga Region,Muheza,WEIGHT (MT),Jul,2020,280.13,7
Coast,Tanga Region,Muheza,WEIGHT (MT),Aug,2020,300.13,8
Coast,Tanga Region,Muheza,WEIGHT (MT),Sep,2020,365.06,9
Coast,Tanga Region,Muheza,WEIGHT (MT),Oct,2020,234.49,10
Coast,Tanga Region,Muheza,WEIGHT (MT),Nov,2020,329.6,11
Coast,Tanga Region,Muheza,WEIGHT (MT),Dec,2020,335.46,12
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Jan,2019,228.49,1
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Feb,2019,206.36,2
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Mar,2019,199.97,3
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Apr,2019,418.12,4
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),May,2019,416.99,5
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Jun,2019,317.13,6
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Jul,2019,264.69,7
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Aug,2019,368.75,8
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Sep,2019,344.07,9
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Oct,2019,301.98,10
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Nov,2019,292.04,11
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Dec,2019,313.9,12
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Jan,2020,238.93,1
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Feb,2020,215.79,2
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Mar,2020,209.11,3
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Apr,2020,437.23,4
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),May,2020,436.05,5
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Jun,2020,331.63,6
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Jul,2020,276.79,7
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Aug,2020,385.61,8
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Sep,2020,359.8,9
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Oct,2020,315.78,10
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Nov,2020,305.39,11
Coast,Tanga Region,Pangani District Council,WEIGHT (MT),Dec,2020,328.25,12
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Jan,2019,388.03,1
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Feb,2019,307.05,2
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Mar,2019,263.18,3
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Apr,2019,188.84,4
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),May,2019,197.31,5
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Jun,2019,249.43,6
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Jul,2019,301.32,7
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Aug,2019,246.8,8
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Sep,2019,265.58,9
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Oct,2019,242.56,10
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Nov,2019,189.3,11
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Dec,2019,224.35,12
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Jan,2020,405.77,1
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Feb,2020,321.09,2
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Mar,2020,275.21,3
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Apr,2020,197.47,4
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),May,2020,206.33,5
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Jun,2020,260.83,6
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Jul,2020,315.09,7
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Aug,2020,258.08,8
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Sep,2020,277.72,9
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Oct,2020,253.65,10
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Nov,2020,197.94,11
Coast,Tanga Region,Tanga City Council,WEIGHT (MT),Dec,2020,234.61,12
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Jan,2019,223.16,1
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Feb,2019,365.12,2
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Mar,2019,280.91,3
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Apr,2019,219.69,4
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),May,2019,427.3,5
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Jun,2019,661.86,6
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Jul,2019,634.54,7
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Aug,2019,831.04,8
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Sep,2019,712.46,9
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Oct,2019,473.43,10
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Nov,2019,732.98,11
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Dec,2019,413.53,12
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Jan,2020,66.01,1
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Feb,2020,108,2
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Mar,2020,83.09,3
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Apr,2020,64.99,4
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),May,2020,126.4,5
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Jun,2020,195.78,6
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Jul,2020,188.19,7
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Aug,2020,245.83,8
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Sep,2020,210.75,9
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Oct,2020,140.04,10
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Nov,2020,216.82,11
Malawi,Mbeya Region,Kyela District Council,WEIGHT (MT),Dec,2020,122.32,12
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Jan,2019,175.41,1
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Feb,2019,395.89,2
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Mar,2019,547.9,3
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Apr,2019,468.29,4
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),May,2019,569.68,5
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Jun,2019,446.27,6
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Jul,2019,629.41,7
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Aug,2019,661.74,8
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Sep,2019,663.45,9
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Oct,2019,788.14,10
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Nov,2019,807.07,11
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Dec,2019,827.07,12
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Jan,2020,51.89,1
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Feb,2020,117.11,2
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Mar,2020,162.07,3
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Apr,2020,138.52,4
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),May,2020,168.51,5
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Jun,2020,132.01,6
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Jul,2020,183.06,7
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Aug,2020,195.75,8
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Sep,2020,196.25,9
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Oct,2020,233.14,10
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Nov,2020,238.74,11
Malawi,Njombe Region,Ludewa District Council,WEIGHT (MT),Dec,2020,244.65,12
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Jan,2019,"1,107.5
4",1
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Feb,2019,"1,204.1
3",2
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Mar,2019,"1,237.1
3",3
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Apr,2019,"1,262.6
8",4
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),May,2019,"1,337.1
9",5
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Jun,2019,"1,057.6
1",6
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Jul,2019,"1,271.4
1",7
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Aug,2019,"1,301.4
8",8
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Sep,2019,"1,142.3
6",9
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Oct,2019,"1,228.7
6",10
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Nov,2019,"1,552.7
9",11
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Dec,2019,1240.6,12
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Jan,2020,327.62,1
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Feb,2020,356.19,2
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Mar,2020,365.95,3
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Apr,2020,373.51,4
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),May,2020,395.55,5
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Jun,2020,312.85,6
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Jul,2020,378.72,7
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Aug,2020,384.98,8
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Sep,2020,337.92,9
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Oct,2020,363.47,10
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Nov,2020,459.32,11
Malawi,Ruvuma Region,Nyasa District Council,WEIGHT (MT),Dec,2020,366.98,12
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Jan,2019,39.23,1
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Feb,2019,81.3,2
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Mar,2019,1472.17,3
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Apr,2019,560.24,4
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),May,2019,34.72,5
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Jun,2019,29.91,6
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Jul,2019,213.01,7
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Aug,2019,112.78,8
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Sep,2019,1861.17,9
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Oct,2019,84.19,10
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Nov,2019,11.59,11
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Dec,2019,203.36,12
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Jan,2020,58.25,1
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Feb,2020,120.72,2
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Mar,2020,2185.93,3
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Apr,2020,831.86,4
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),May,2020,51.55,5
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Jun,2020,44.41,6
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Jul,2020,316.29,7
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Aug,2020,167.46,8
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Sep,2020,2763.53,9
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Oct,2020,125.01,10
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Nov,2020,17.21,11
Tanganyika,Katavi Region,Tanganyika,WEIGHT (MT),Dec,2020,301.96,12
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Jan,2019,116.18,1
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Feb,2019,605.34,2
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Mar,2019,51.28,3
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Apr,2019,2040.4,4
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),May,2019,40.05,5
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Jun,2019,28.83,6
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Jul,2019,278.4,7
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Aug,2019,2772.9,8
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Sep,2019,89.97,9
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Oct,2019,89.97,10
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Nov,2019,78.74,11
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Dec,2019,1250.49,12
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Jan,2020,172.51,1
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Feb,2020,898.83,2
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Mar,2020,76.14,3
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Apr,2020,3029.66,4
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),May,2020,59.47,5
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Jun,2020,42.81,6
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Jul,2020,413.38,7
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Aug,2020,4117.3,8
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Sep,2020,133.59,9
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Oct,2020,133.59,10
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Nov,2020,116.92,11
Tanganyika,Kigoma Region,Kigoma District Council,WEIGHT (MT),Dec,2020,1856.77,12
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Jan,2019,85.26,1
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Feb,2019,1430.84,2
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Mar,2019,98.11,3
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Apr,2019,1480.61,4
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),May,2019,56.37,5
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Jun,2019,152.7,6
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Jul,2019,85.26,7
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Aug,2019,104.53,8
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Sep,2019,51.55,9
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Oct,2019,51.55,10
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Nov,2019,66,11
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Dec,2019,3720.58,12
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Jan,2020,126.6,1
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Feb,2020,2124.56,2
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Mar,2020,145.68,3
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Apr,2020,2198.46,4
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),May,2020,83.7,5
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Jun,2020,226.73,6
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Jul,2020,126.6,7
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Aug,2020,155.21,8
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Sep,2020,76.54,9
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Oct,2020,76.54,10
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Nov,2020,98,11
Tanganyika,Kigoma Region,Kigoma Municipal Council,WEIGHT (MT),Dec,2020,5524.45,12
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Jan,2019,45.38,1
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Feb,2019,79.16,2
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Mar,2019,100.18,3
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Apr,2019,347.97,4
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),May,2019,8.77,5
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Jun,2019,85.54,6
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Jul,2019,61.91,7
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Aug,2019,925.37,8
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Sep,2019,1345.27,9
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Oct,2019,21.75,10
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Nov,2019,31.2,11
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Dec,2019,14.9,12
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Jan,2020,67.38,1
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Feb,2020,117.54,2
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Mar,2020,148.75,3
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Apr,2020,516.68,4
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),May,2020,13.02,5
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Jun,2020,127.01,6
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Jul,2020,91.93,7
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Aug,2020,1374.02,8
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Sep,2020,1997.51,9
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Oct,2020,32.3,10
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Nov,2020,46.33,11
Tanganyika,Kigoma Region,Uvinza District Council,WEIGHT (MT),Dec,2020,22.12,12
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Jan,2019,114.69,1
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Feb,2019,3658.62,2
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Mar,2019,495.17,3
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Apr,2019,1625.75,4
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),May,2019,141.87,5
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Jun,2019,196.21,6
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Jul,2019,174.48,7
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Aug,2019,2783.51,8
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Sep,2019,207.1,9
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Oct,2019,136.43,10
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Nov,2019,1973.62,11
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Dec,2019,1228.96,12
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Jan,2020,170.3,1
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Feb,2020,5432.45,2
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Mar,2020,735.25,3
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Apr,2020,2413.97,4
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),May,2020,210.65,5
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Jun,2020,291.34,6
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Jul,2020,259.07,7
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Aug,2020,4133.06,8
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Sep,2020,307.51,9
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Oct,2020,202.58,10
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Nov,2020,2930.5,11
Tanganyika,Rukwa Region,Kalambo District Council,WEIGHT (MT),Dec,2020,1824.81,12
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Jan,2019,509.28,1
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Feb,2019,2573.59,2
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Mar,2019,3685.6,3
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Apr,2019,7826.08,4
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),May,2019,852.35,5
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Jun,2019,4223.86,6
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Jul,2019,1993.93,7
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Aug,2019,4827.2,8
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Sep,2019,6572.1,9
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Oct,2019,444.21,10
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Nov,2019,870.09,11
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Dec,2019,450.13,12
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Jan,2020,756.2,1
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Feb,2020,3821.36,2
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Mar,2020,5472.51,3
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Apr,2020,11620.42,4
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),May,2020,1265.6,5
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Jun,2020,6271.74,6
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Jul,2020,2960.66,7
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Aug,2020,7167.6,8
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Sep,2020,9758.5,9
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Oct,2020,659.58,10
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Nov,2020,1291.94,11
Tanganyika,Rukwa Region,Nkasi District Council,WEIGHT (MT),Dec,2020,668.37,12
Victoria,NA,NA,WEIGHT (MT),Jan,2019,22574.93,1
Victoria,NA,NA,WEIGHT (MT),Feb,2019,27026.69,2
Victoria,NA,NA,WEIGHT (MT),Mar,2019,23791.03,3
Victoria,NA,NA,WEIGHT (MT),Apr,2019,8052.55,4
Victoria,NA,NA,WEIGHT (MT),May,2019,25561.78,5
Victoria,NA,NA,WEIGHT (MT),Jun,2019,13997.34,6
Victoria,NA,NA,WEIGHT (MT),Jul,2019,5076.68,7
Victoria,NA,NA,WEIGHT (MT),Aug,2019,22286.47,8
Victoria,NA,NA,WEIGHT (MT),Sep,2019,19490.02,9
Victoria,NA,NA,WEIGHT (MT),Oct,2019,32370.45,10
Victoria,NA,NA,WEIGHT (MT),Nov,2019,51505.72,11
Victoria,NA,NA,WEIGHT (MT),Dec,2019,19234.36,12
Victoria,NA,NA,WEIGHT (MT),Jan,2020,"22,901.59",1
Victoria,NA,NA,WEIGHT (MT),Feb,2020,"27,417.72",2
Victoria,NA,NA,WEIGHT (MT),Mar,2020,"24,135.43",3
Victoria,NA,NA,WEIGHT (MT),Apr,2020,"8,169.07",4
Victoria,NA,NA,WEIGHT (MT),May,2020,"25,931.65",5
Victoria,NA,NA,WEIGHT (MT),Jun,2020,"14,199.88",6
Victoria,NA,NA,WEIGHT (MT),Jul,2020,"5,150.14",7
